CCS,CCS_label,CCS_Level
PR-16.29.3,Individual psychotherapy,lvl3
PR219,ETOH/drug Rx,main
PR-16.30,Alcohol and drug rehabilitation/ detoxification [219.],lvl2
PR-16.30.1,Alcohol rehabilitation,lvl3
PR-16.30.2,Alcohol detoxification,lvl3
PR-16.30.3,Alcohol rehabilitation and detoxification,lvl3
PR-16.30.4,Drug rehabilitation,lvl3
PR-16.30.5,Drug detoxification,lvl3
PR-16.30.6,Drug rehabilitation and detoxification,lvl3
PR-16.30.7,Alcohol and drug rehabilitation,lvl3
PR-16.30.8,Alcohol and drug detoxification,lvl3
PR-16.30.9,Alcohol and drug rehabilitation and detoxification,lvl3
PR220,Eye/ear RxDx,main
PR-16.31,Ophthalmologic and otologic diagnosis and treatment [220.],lvl2
PR221,NG tube,main
PR-16.32,Nasogastric tube [221.],lvl2
PR222,Blood transf,main
PR-16.33,Blood transfusion [222.],lvl2
PR223,Ent nutritio,main
PR-16.34,Enteral and parenteral nutrition [223.],lvl2
PR224,CA chemoRx,main
PR-16.35,Cancer chemotherapy [224.],lvl2
PR225,Convert rhyt,main
PR-16.36,Conversion of cardiac rhythm [225.],lvl2
PR226,Ot Dx rad,main
PR-16.37,Other diagnostic radiology and related techniques [226.],lvl2
PR227,Oth diag procs,main
PR-16.38,Other diagnostic procedures (interview; evaluation; consultation) [227.],lvl2
PR228,Vaccinations,main
PR-16.39,Prophylactic vaccinations and inoculations [228.],lvl2
PR229,nOR forn bod,main
PR-16.40,Nonoperative removal of foreign body [229.],lvl2
PR230,Ot lithotrip,main
PR-16.41,Extracorporeal shock wave lithotripsy; other than urinary [230.],lvl2
PR231,Ot Rx procs,main
PR-16.42,Other therapeutic procedures [231.],lvl2
PR-16.42.4,Other therapies,lvl3
PR-16.42.1,Inject antibiotic,lvl3
PR-16.42.3,Injection of Thromobolytic Agent (not coronary),lvl3
PR-16.42.2,Other phototherapy (newborn),lvl3
