I9_DX,I9_DX_desc,CCI,body_system
1624,MAL NEO MIDDLE LOBE LUNG,Chronic,Neoplasms
1625,MAL NEO LOWER LOBE LUNG,Chronic,Neoplasms
1628,MAL NEO BRONCH/LUNG NEC,Chronic,Neoplasms
1629,MAL NEO BRONCH/LUNG NOS,Chronic,Neoplasms
1630,MAL NEO PARIETAL PLEURA,Chronic,Neoplasms
1631,MAL NEO VISCERAL PLEURA,Chronic,Neoplasms
1638,MALIG NEOPL PLEURA NEC,Chronic,Neoplasms
1639,MALIG NEOPL PLEURA NOS,Chronic,Neoplasms
1640,MALIGNANT NEOPL THYMUS,Chronic,Neoplasms
1641,MALIGNANT NEOPL HEART,Chronic,Neoplasms
1642,MAL NEO ANT MEDIASTINUM,Chronic,Neoplasms
1643,MAL NEO POST MEDIASTINUM,Chronic,Neoplasms
1648,MAL NEO MEDIASTINUM NEC,Chronic,Neoplasms
1649,MAL NEO MEDIASTINUM NOS,Chronic,Neoplasms
1650,MAL NEO UPPER RESP NOS,Chronic,Neoplasms
1658,MAL NEO THORAX/RESP NEC,Chronic,Neoplasms
1659,MAL NEO RESP SYSTEM NOS,Chronic,Neoplasms
1700,MAL NEO SKULL/FACE BONE,Chronic,Neoplasms
1701,MALIGNANT NEO MANDIBLE,Chronic,Neoplasms
1702,MALIG NEO VERTEBRAE,Chronic,Neoplasms
1703,MAL NEO RIBS/STERN/CLAV,Chronic,Neoplasms
1704,MAL NEO LONG BONES ARM,Chronic,Neoplasms
1705,MAL NEO BONES WRIST/HAND,Chronic,Neoplasms
1706,MAL NEO PELVIC GIRDLE,Chronic,Neoplasms
1707,MAL NEO LONG BONES LEG,Chronic,Neoplasms
1708,MAL NEO BONES ANKLE/FOOT,Chronic,Neoplasms
1709,MALIG NEOPL BONE NOS,Chronic,Neoplasms
1710,MAL NEO SOFT TISSUE HEAD,Chronic,Neoplasms
1712,MAL NEO SOFT TISSUE ARM,Chronic,Neoplasms
1713,MAL NEO SOFT TISSUE LEG,Chronic,Neoplasms
1714,MAL NEO SOFT TIS THORAX,Chronic,Neoplasms
1715,MAL NEO SOFT TIS ABDOMEN,Chronic,Neoplasms
1716,MAL NEO SOFT TIS PELVIS,Chronic,Neoplasms
1717,MAL NEOPL TRUNK NOS,Chronic,Neoplasms
1718,MAL NEO SOFT TISSUE NEC,Chronic,Neoplasms
1719,MAL NEO SOFT TISSUE NOS,Chronic,Neoplasms
1720,MALIG MELANOMA LIP,Chronic,Neoplasms
1721,MALIG MELANOMA EYELID,Chronic,Neoplasms
1722,MALIG MELANOMA EAR,Chronic,Neoplasms
1723,MAL MELANOM FACE NEC/NOS,Chronic,Neoplasms
1724,MAL MELANOMA SCALP/NECK,Chronic,Neoplasms
1725,MALIG MELANOMA TRUNK,Chronic,Neoplasms
1726,MALIG MELANOMA ARM,Chronic,Neoplasms
1727,MALIG MELANOMA LEG,Chronic,Neoplasms
1728,MALIG MELANOMA SKIN NEC,Chronic,Neoplasms
1729,MALIG MELANOMA SKIN NOS,Chronic,Neoplasms
1730,MALIG NEO SKIN LIP (end 2011),NonChronic,Neoplasms
17300,Malig neopl skin lip NOS (begin 2011),NonChronic,Neoplasms
17301,Basal cell ca skin lip (begin 2011),NonChronic,Neoplasms
17302,Squamous cell ca skn lip (begin 2011),NonChronic,Neoplasms
17309,Malig neo skin lip NEC (begin 2011),NonChronic,Neoplasms
1731,MALIG NEO SKIN EYELID (end 2011),NonChronic,Neoplasms
17310,Mal neo eyelid/canth NOS (begin 2011),NonChronic,Neoplasms
17311,Basal cell ca lid/canth (begin 2011),NonChronic,Neoplasms
17312,Squam cell ca lid/canth (begin 2011),NonChronic,Neoplasms
17319,Mal neo eyelid/canth NEC (begin 2011),NonChronic,Neoplasms
1732,MALIG NEO SKIN EAR (end 2011),NonChronic,Neoplasms
17320,Malig neo skin ear NOS (begin 2011),NonChronic,Neoplasms
17321,Basal cell ca skin ear (begin 2011),NonChronic,Neoplasms
17322,Squam cell ca skin ear (begin 2011),NonChronic,Neoplasms
17329,Neo skin ear/ex canl NEC (begin 2011),NonChronic,Neoplasms
1733,MAL NEO SKIN FACE NEC (end 2011),NonChronic,Neoplasms
17330,Mal neo skn face NEC/NOS (begin 2011),NonChronic,Neoplasms
17331,Bsl cel skn face NEC/NOS (begin 2011),NonChronic,Neoplasms
17332,Sqm cel skn face NEC/NOS (begin 2011),NonChronic,Neoplasms
17339,Mal neo skn face NEC/NOS (begin 2011),NonChronic,Neoplasms
1734,MAL NEO SCALP/SKIN NECK (end 2011),NonChronic,Neoplasms
17340,Mal neo sclp/skn nck NOS (begin 2011),NonChronic,Neoplasms
17341,Bsl cell ca scalp/skn nk (begin 2011),NonChronic,Neoplasms
17342,Sqam cell ca sclp/skn nk (begin 2011),NonChronic,Neoplasms
17349,Mal neo sclp/skn nck NEC (begin 2011),NonChronic,Neoplasms
1735,MALIG NEO SKIN TRUNK (end 2011),NonChronic,Neoplasms
17350,Malig neo skin trunk NOS (begin 2011),NonChronic,Neoplasms
17351,Basal cell ca skin trunk (begin 2011),NonChronic,Neoplasms
17352,Squam cell ca skin trunk (begin 2011),NonChronic,Neoplasms
17359,Malig neo skin trunk NEC (begin 2011),NonChronic,Neoplasms
1736,MALIG NEO SKIN ARM (end 2011),NonChronic,Neoplasms
17360,Mal neo skin up limb NOS (begin 2011),NonChronic,Neoplasms
17361,Basal cell ca skn up lmb (begin 2011),NonChronic,Neoplasms
17362,Squam cell ca skn up lmb (begin 2011),NonChronic,Neoplasms
17369,Malig neo skn up lmb NEC (begin 2011),NonChronic,Neoplasms
1737,MALIG NEO SKIN LEG (end 2011),NonChronic,Neoplasms
17370,Mal neo skn low limb NOS (begin 2011),NonChronic,Neoplasms
17371,Basl cell ca skn low lmb (begin 2011),NonChronic,Neoplasms
17372,Sqam cell ca skn low lmb (begin 2011),NonChronic,Neoplasms
17379,Mal neo skin low lmb NEC (begin 2011),NonChronic,Neoplasms
1738,MALIG NEO SKIN NEC (end 2011),NonChronic,Neoplasms
17380,Mal neo skn site NEC/NOS (begin 2011),NonChronic,Neoplasms
17381,Bsl cell ca skn site NEC (begin 2011),NonChronic,Neoplasms
17382,Sqm cell ca skn site NEC (begin 2011),NonChronic,Neoplasms
17389,Oth mal neo skn site NEC (begin 2011),NonChronic,Neoplasms
1739,MALIG NEO SKIN NOS (end 2011),NonChronic,Neoplasms
17390,Malig neo skin site NOS (begin 2011),NonChronic,Neoplasms
17391,Basal cell ca skin NOS (begin 2011),NonChronic,Neoplasms
17392,Squam cell ca skin NOS (begin 2011),NonChronic,Neoplasms
17399,Oth mal neo skn site NOS (begin 2011),NonChronic,Neoplasms
1740,MALIG NEO NIPPLE,Chronic,Neoplasms
1741,MAL NEO BREAST-CENTRAL,Chronic,Neoplasms
1742,MAL NEO BREAST UP-INNER,Chronic,Neoplasms
1743,MAL NEO BREAST LOW-INNER,Chronic,Neoplasms
1744,MAL NEO BREAST UP-OUTER,Chronic,Neoplasms
1745,MAL NEO BREAST LOW-OUTER,Chronic,Neoplasms
1746,MAL NEO BREAST-AXILLARY,Chronic,Neoplasms
1748,MALIGN NEOPL BREAST NEC,Chronic,Neoplasms
1749,MALIGN NEOPL BREAST NOS,Chronic,Neoplasms
1750,MAL NEO MALE NIPPLE,Chronic,Neoplasms
1759,MAL NEO MALE BREAST NEC,Chronic,Neoplasms
1760,SKIN - KAPOSIS SARCOMA (Begin 1991),Chronic,Neoplasms
1761,SFT TISUE - KPSIS SRCMA (Begin 1991),Chronic,Neoplasms
1762,PALATE - KPSIS SARCOMA (Begin 1991),Chronic,Neoplasms
1763,GI SITES - KPSIS SRCOMA (Begin 1991),Chronic,Neoplasms
1764,LUNG - KAPOSIS SARCOMA (Begin 1991),Chronic,Neoplasms
1765,LYM NDS - KPSIS SARCOMA (Begin 1991),Chronic,Neoplasms
1768,SPF STS - KPSIS SARCOMA (Begin 1991),Chronic,Neoplasms
1769,KAPOSIS SARCOMA NOS (Begin 1991),Chronic,Neoplasms
179,MALIG NEOPL UTERUS NOS,Chronic,Neoplasms
1800,MALIG NEO ENDOCERVIX,Chronic,Neoplasms
1801,MALIG NEO EXOCERVIX,Chronic,Neoplasms
1808,MALIG NEO CERVIX NEC,Chronic,Neoplasms
1809,MAL NEO CERVIX UTERI NOS,Chronic,Neoplasms
181,MALIGNANT NEOPL PLACENTA,Chronic,Neoplasms
1820,MALIG NEO CORPUS UTERI,Chronic,Neoplasms
1821,MAL NEO UTERINE ISTHMUS,Chronic,Neoplasms
1828,MAL NEO BODY UTERUS NEC,Chronic,Neoplasms
1830,MALIGN NEOPL OVARY,Chronic,Neoplasms
1832,MAL NEO FALLOPIAN TUBE,Chronic,Neoplasms
1833,MAL NEO BROAD LIGAMENT,Chronic,Neoplasms
1834,MALIG NEO PARAMETRIUM,Chronic,Neoplasms
1835,MAL NEO ROUND LIGAMENT,Chronic,Neoplasms
1838,MAL NEO ADNEXA NEC,Chronic,Neoplasms
1839,MAL NEO ADNEXA NOS,Chronic,Neoplasms
1840,MALIGN NEOPL VAGINA,Chronic,Neoplasms
1841,MAL NEO LABIA MAJORA,Chronic,Neoplasms
1842,MAL NEO LABIA MINORA,Chronic,Neoplasms
1843,MALIGN NEOPL CLITORIS,Chronic,Neoplasms
1844,MALIGN NEOPL VULVA NOS,Chronic,Neoplasms
1848,MAL NEO FEMALE GENIT NEC,Chronic,Neoplasms
1849,MAL NEO FEMALE GENIT NOS,Chronic,Neoplasms
185,MALIGN NEOPL PROSTATE,Chronic,Neoplasms
1860,MAL NEO UNDESCEND TESTIS,Chronic,Neoplasms
1869,MALIG NEO TESTIS NEC,Chronic,Neoplasms
1871,MALIGN NEOPL PREPUCE,Chronic,Neoplasms
1872,MALIG NEO GLANS PENIS,Chronic,Neoplasms
1873,MALIG NEO PENIS BODY,Chronic,Neoplasms
1874,MALIG NEO PENIS NOS,Chronic,Neoplasms
1875,MALIG NEO EPIDIDYMIS,Chronic,Neoplasms
1876,MAL NEO SPERMATIC CORD,Chronic,Neoplasms
1877,MALIGN NEOPL SCROTUM,Chronic,Neoplasms
1878,MAL NEO MALE GENITAL NEC,Chronic,Neoplasms
1879,MAL NEO MALE GENITAL NOS,Chronic,Neoplasms
1880,MAL NEO BLADDER-TRIGONE,Chronic,Neoplasms
1881,MAL NEO BLADDER-DOME,Chronic,Neoplasms
1882,MAL NEO BLADDER-LATERAL,Chronic,Neoplasms
1883,MAL NEO BLADDER-ANTERIOR,Chronic,Neoplasms
1884,MAL NEO BLADDER-POST,Chronic,Neoplasms
1885,MAL NEO BLADDER NECK,Chronic,Neoplasms
1886,MAL NEO URETERIC ORIFICE,Chronic,Neoplasms
1887,MALIG NEO URACHUS,Chronic,Neoplasms
1888,MALIG NEO BLADDER NEC,Chronic,Neoplasms
1889,MALIG NEO BLADDER NOS,Chronic,Neoplasms
1890,MALIG NEOPL KIDNEY,Chronic,Neoplasms
1891,MALIG NEO RENAL PELVIS,Chronic,Neoplasms
1892,MALIGN NEOPL URETER,Chronic,Neoplasms
1893,MALIGN NEOPL URETHRA,Chronic,Neoplasms
1894,MAL NEO PARAURETHRAL,Chronic,Neoplasms
1898,MAL NEO URINARY NEC,Chronic,Neoplasms
1899,MAL NEO URINARY NOS,Chronic,Neoplasms
1900,MALIGN NEOPL EYEBALL,Chronic,Neoplasms
1901,MALIGN NEOPL ORBIT,Chronic,Neoplasms
1902,MAL NEO LACRIMAL GLAND,Chronic,Neoplasms
1903,MAL NEO CONJUNCTIVA,Chronic,Neoplasms
1904,MALIGN NEOPL CORNEA,Chronic,Neoplasms
1905,MALIGN NEOPL RETINA,Chronic,Neoplasms
1906,MALIGN NEOPL CHOROID,Chronic,Neoplasms
1907,MAL NEO LACRIMAL DUCT,Chronic,Neoplasms
1908,MALIGN NEOPL EYE NEC,Chronic,Neoplasms
1909,MALIGN NEOPL EYE NOS,Chronic,Neoplasms
1910,MALIGN NEOPL CEREBRUM,Chronic,Neoplasms
1911,MALIG NEO FRONTAL LOBE,Chronic,Neoplasms
1912,MAL NEO TEMPORAL LOBE,Chronic,Neoplasms
1913,MAL NEO PARIETAL LOBE,Chronic,Neoplasms
1914,MAL NEO OCCIPITAL LOBE,Chronic,Neoplasms
1915,MAL NEO CEREB VENTRICLE,Chronic,Neoplasms
1916,MAL NEO CEREBELLUM NOS,Chronic,Neoplasms
1917,MAL NEO BRAIN STEM,Chronic,Neoplasms
1918,MALIG NEO BRAIN NEC,Chronic,Neoplasms
1919,MALIG NEO BRAIN NOS,Chronic,Neoplasms
1920,MAL NEO CRANIAL NERVES,Chronic,Neoplasms
1921,MAL NEO CEREBRAL MENING,Chronic,Neoplasms
1922,MAL NEO SPINAL CORD,Chronic,Neoplasms
1923,MAL NEO SPINAL MENINGES,Chronic,Neoplasms
1928,MAL NEO NERVOUS SYST NEC,Chronic,Neoplasms
1929,MAL NEO NERVOUS SYST NOS,Chronic,Neoplasms
193,MALIGN NEOPL THYROID,Chronic,Neoplasms
1940,MALIGN NEOPL ADRENAL,Chronic,Neoplasms
1941,MALIG NEO PARATHYROID,Chronic,Neoplasms
1943,MALIG NEO PITUITARY,Chronic,Neoplasms
1944,MALIGN NEO PINEAL GLAND,Chronic,Neoplasms
1945,MAL NEO CAROTID BODY,Chronic,Neoplasms
1946,MAL NEO PARAGANGLIA NEC,Chronic,Neoplasms
1948,MAL NEO ENDOCRINE NEC,Chronic,Neoplasms
1949,MAL NEO ENDOCRINE NOS,Chronic,Neoplasms
1950,MAL NEO HEAD/FACE/NECK,Chronic,Neoplasms
1951,MALIGN NEOPL THORAX,Chronic,Neoplasms
1952,MALIG NEO ABDOMEN,Chronic,Neoplasms
1953,MALIGN NEOPL PELVIS,Chronic,Neoplasms
1954,MALIGN NEOPL ARM,Chronic,Neoplasms
1955,MALIGN NEOPL LEG,Chronic,Neoplasms
1958,MALIG NEO SITE NEC,Chronic,Neoplasms
1960,MAL NEO LYMPH-HEAD/NECK,Chronic,Neoplasms
1961,MAL NEO LYMPH-INTRATHOR,Chronic,Neoplasms
1962,MAL NEO LYMPH INTRA-ABD,Chronic,Neoplasms
1963,MAL NEO LYMPH-AXILLA/ARM,Chronic,Neoplasms
1965,MAL NEO LYMPH-INGUIN/LEG,Chronic,Neoplasms
1966,MAL NEO LYMPH-INTRAPELV,Chronic,Neoplasms
1968,MAL NEO LYMPH NODE-MULT,Chronic,Neoplasms
1969,MAL NEO LYMPH NODE NOS,Chronic,Neoplasms
1970,SECONDARY MALIG NEO LUNG,Chronic,Neoplasms
1971,SEC MAL NEO MEDIASTINUM,Chronic,Neoplasms
1972,SECOND MALIG NEO PLEURA,Chronic,Neoplasms
1973,SEC MALIG NEO RESP NEC,Chronic,Neoplasms
1974,SEC MALIG NEO SM BOWEL,Chronic,Neoplasms
1975,SEC MALIG NEO LG BOWEL,Chronic,Neoplasms
1976,SEC MAL NEO PERITONEUM,Chronic,Neoplasms
1977,SECOND MALIG NEO LIVER,Chronic,Neoplasms
1978,SEC MAL NEO GI NEC,Chronic,Neoplasms
1980,SECOND MALIG NEO KIDNEY,Chronic,Neoplasms
1981,SEC MALIG NEO URIN NEC,Chronic,Neoplasms
1982,SECONDARY MALIG NEO SKIN,Chronic,Neoplasms
1983,SEC MAL NEO BRAIN/SPINE,Chronic,Neoplasms
1984,SEC MALIG NEO NERVE NEC,Chronic,Neoplasms
1985,SECONDARY MALIG NEO BONE,Chronic,Neoplasms
1986,SECOND MALIG NEO OVARY,Chronic,Neoplasms
1987,SECOND MALIG NEO ADRENAL,Chronic,Neoplasms
19881,SECOND MALIG NEO BREAST,Chronic,Neoplasms
19882,SECOND MALIG NEO GENITAL,Chronic,Neoplasms
19889,SECONDARY MALIG NEO NEC,Chronic,Neoplasms
1990,MALIG NEO DISSEMINATED,Chronic,Neoplasms
1991,MALIGNANT NEOPLASM NOS,Chronic,Neoplasms
1992,MALIG NEOPL-TRANSP ORGAN (begin 2008),Chronic,Neoplasms
20000,RETICULOSARCOMA UNSPEC,Chronic,Neoplasms
20001,RETICULOSARCOMA HEAD,Chronic,Neoplasms
20002,RETICULOSARCOMA THORAX,Chronic,Neoplasms
20003,RETICULOSARCOMA ABDOM,Chronic,Neoplasms
20004,RETICULOSARCOMA AXILLA,Chronic,Neoplasms
20005,RETICULOSARCOMA INGUIN,Chronic,Neoplasms
20006,RETICULOSARCOMA PELVIC,Chronic,Neoplasms
20007,RETICULOSARCOMA SPLEEN,Chronic,Neoplasms
20008,RETICULOSARCOMA MULT,Chronic,Neoplasms
20010,LYMPHOSARCOMA UNSPEC,Chronic,Neoplasms
20011,LYMPHOSARCOMA HEAD,Chronic,Neoplasms
20012,LYMPHOSARCOMA THORAX,Chronic,Neoplasms
20013,LYMPHOSARCOMA ABDOM,Chronic,Neoplasms
20014,LYMPHOSARCOMA AXILLA,Chronic,Neoplasms
20015,LYMPHOSARCOMA INGUIN,Chronic,Neoplasms
20016,LYMPHOSARCOMA PELVIC,Chronic,Neoplasms
20017,LYMPHOSARCOMA SPLEEN,Chronic,Neoplasms
20018,LYMPHOSARCOMA MULT,Chronic,Neoplasms
20020,BURKITTS TUMOR UNSPEC,Chronic,Neoplasms
20021,BURKITTS TUMOR HEAD,Chronic,Neoplasms
20022,BURKITTS TUMOR THORAX,Chronic,Neoplasms
20023,BURKITTS TUMOR ABDOM,Chronic,Neoplasms
20024,BURKITTS TUMOR AXILLA,Chronic,Neoplasms
20025,BURKITTS TUMOR INGUIN,Chronic,Neoplasms
20026,BURKITTS TUMOR PELVIC,Chronic,Neoplasms
20027,BURKITTS TUMOR SPLEEN,Chronic,Neoplasms
20028,BURKITTS TUMOR MULT,Chronic,Neoplasms
20030,MARGNL ZONE LYM XTRNDL (Begin 2007),Chronic,Neoplasms
20031,MARGIN ZONE LYM HEAD (Begin 2007),Chronic,Neoplasms
20032,MARGIN ZONE LYM THORAX (Begin 2007),Chronic,Neoplasms
20033,MARGIN ZONE LYM ABDOM (Begin 2007),Chronic,Neoplasms
20034,MARGIN ZONE LYM AXILLA (Begin 2007),Chronic,Neoplasms
20035,MARGIN ZONE LYM INGUIN (Begin 2007),Chronic,Neoplasms
20036,MARGIN ZONE LYM PELVIC (Begin 2007),Chronic,Neoplasms
20037,MARGIN ZONE LYMPH SPLEEN (Begin 2007),Chronic,Neoplasms
20038,MARGIN ZONE LYMPH MULTIP (Begin 2007),Chronic,Neoplasms
20040,MANTLE CELL LYM XTRRNDL (Begin 2007),Chronic,Neoplasms
20041,MANTLE CELL LYMPH HEAD (Begin 2007),Chronic,Neoplasms
20042,MANTLE CELL LYMPH THORAX (Begin 2007),Chronic,Neoplasms
20043,MANTLE CELL LYMPH ABDOM (Begin 2007),Chronic,Neoplasms
20044,MANTLE CELL LYMPH AXILLA (Begin 2007),Chronic,Neoplasms
20045,MANTLE CELL LYMPH INGUIN (Begin 2007),Chronic,Neoplasms
20046,MANTLE CELL LYMPH PELVIC (Begin 2007),Chronic,Neoplasms
20047,MANTLE CELL LYMPH SPLEEN (Begin 2007),Chronic,Neoplasms
20048,MANTLE CELL LYMPH MULTIP (Begin 2007),Chronic,Neoplasms
20050,PRIMARY CNS LYMPH XTRNDL (Begin 2007),Chronic,Neoplasms
20051,PRIMARY CNS LYMPH HEAD (Begin 2007),Chronic,Neoplasms
20052,PRIMARY CNS LYMPH THORAX (Begin 2007),Chronic,Neoplasms
20053,PRIMARY CNS LYMPH ABDOM (Begin 2007),Chronic,Neoplasms
20054,PRIMARY CNS LYMPH AXILLA (Begin 2007),Chronic,Neoplasms
20055,PRIMARY CNS LYM INGUIN (Begin 2007),Chronic,Neoplasms
20056,PRIMARY CNS LYMPH PELVIC (Begin 2007),Chronic,Neoplasms
20057,PRIMARY CNS LYMPH SPLEEN (Begin 2007),Chronic,Neoplasms
20058,PRIMARY CNS LYMPH MULTIP (Begin 2007),Chronic,Neoplasms
20060,ANAPLASTIC LYMPH XTRNDL (Begin 2007),Chronic,Neoplasms
20061,ANAPLASTIC LYMPH HEAD (Begin 2007),Chronic,Neoplasms
20062,ANAPLASTIC LYMPH THORAX (Begin 2007),Chronic,Neoplasms
20063,ANAPLASTIC LYMPH ABDOM (Begin 2007),Chronic,Neoplasms
20064,ANAPLASTIC LYMPH AXILLA (Begin 2007),Chronic,Neoplasms
20065,ANAPLASTIC LYMPH INGUIN (Begin 2007),Chronic,Neoplasms
20066,ANAPLASTIC LYMPH PELVIC (Begin 2007),Chronic,Neoplasms
20067,ANAPLASTIC LYMPH SPLEEN (Begin 2007),Chronic,Neoplasms
20068,ANAPLASTIC LYMPH MULTIP (Begin 2007),Chronic,Neoplasms
20070,LARGE CELL LYMPH XTRNDL (Begin 2007),Chronic,Neoplasms
20071,LARGE CELL LYMPHOMA HEAD (Begin 2007),Chronic,Neoplasms
20072,LARGE CELL LYMPH THORAX (Begin 2007),Chronic,Neoplasms
20073,LARGE CELL LYMPH ABDOM (Begin 2007),Chronic,Neoplasms
20074,LARGE CELL LYMPH AXILLA (Begin 2007),Chronic,Neoplasms
20075,LARGE CELL LYMPH INGUIN (Begin 2007),Chronic,Neoplasms
20076,LARGE CELL LYMPH PELVIC (Begin 2007),Chronic,Neoplasms
20077,LARGE CELL LYMPH SPLEEN (Begin 2007),Chronic,Neoplasms
20078,LARGE CELL LYMPH MULTIP (Begin 2007),Chronic,Neoplasms
20080,MIXED LYMPHOSARC UNSPEC,Chronic,Neoplasms
20081,MIXED LYMPHOSARC HEAD,Chronic,Neoplasms
20082,MIXED LYMPHOSARC THORAX,Chronic,Neoplasms
20083,MIXED LYMPHOSARC ABDOM,Chronic,Neoplasms
20084,MIXED LYMPHOSARC AXILLA,Chronic,Neoplasms
20085,MIXED LYMPHOSARC INGUIN,Chronic,Neoplasms
20086,MIXED LYMPHOSARC PELVIC,Chronic,Neoplasms
20087,MIXED LYMPHOSARC SPLEEN,Chronic,Neoplasms
20088,MIXED LYMPHOSARC MULT,Chronic,Neoplasms
20100,HODGKINS PARAGRAN UNSPEC,Chronic,Neoplasms
20101,HODGKINS PARAGRAN HEAD,Chronic,Neoplasms
20102,HODGKINS PARAGRAN THORAX,Chronic,Neoplasms
20103,HODGKINS PARAGRAN ABDOM,Chronic,Neoplasms
20104,HODGKINS PARAGRAN AXILLA,Chronic,Neoplasms
20105,HODGKINS PARAGRAN INGUIN,Chronic,Neoplasms
20106,HODGKINS PARAGRAN PELVIC,Chronic,Neoplasms
20107,HODGKINS PARAGRAN SPLEEN,Chronic,Neoplasms
20108,HODGKINS PARAGRAN MULT,Chronic,Neoplasms
20110,HODGKINS GRANULOM UNSPEC,Chronic,Neoplasms
20111,HODGKINS GRANULOM HEAD,Chronic,Neoplasms
20112,HODGKINS GRANULOM THORAX,Chronic,Neoplasms
20113,HODGKINS GRANULOM ABDOM,Chronic,Neoplasms
20114,HODGKINS GRANULOM AXILLA,Chronic,Neoplasms
20115,HODGKINS GRANULOM INGUIN,Chronic,Neoplasms
20116,HODGKINS GRANULOM PELVIC,Chronic,Neoplasms
20117,HODGKINS GRANULOM SPLEEN,Chronic,Neoplasms
20118,HODGKINS GRANULOM MULT,Chronic,Neoplasms
20120,HODGKINS SARCOMA UNSPEC,Chronic,Neoplasms
20121,HODGKINS SARCOMA HEAD,Chronic,Neoplasms
20122,HODGKINS SARCOMA THORAX,Chronic,Neoplasms
20123,HODGKINS SARCOMA ABDOM,Chronic,Neoplasms
20124,HODGKINS SARCOMA AXILLA,Chronic,Neoplasms
20125,HODGKINS SARCOMA INGUIN,Chronic,Neoplasms
20126,HODGKINS SARCOMA PELVIC,Chronic,Neoplasms
20127,HODGKINS SARCOMA SPLEEN,Chronic,Neoplasms
20128,HODGKINS SARCOMA MULT,Chronic,Neoplasms
20140,HODG LYMPH-HISTIO UNSPEC,Chronic,Neoplasms
20141,HODG LYMPH-HISTIO HEAD,Chronic,Neoplasms
20142,HODG LYMPH-HISTIO THORAX,Chronic,Neoplasms
20143,HODG LYMPH-HISTIO ABDOM,Chronic,Neoplasms
20144,HODG LYMPH-HISTIO AXILLA,Chronic,Neoplasms
20145,HODG LYMPH-HISTIO INGUIN,Chronic,Neoplasms
20146,HODG LYMPH-HISTIO PELVIC,Chronic,Neoplasms
20147,HODG LYMPH-HISTIO SPLEEN,Chronic,Neoplasms
20148,HODG LYMPH-HISTIO MULT,Chronic,Neoplasms
20150,HODG NODUL SCLERO UNSPEC,Chronic,Neoplasms
20151,HODG NODUL SCLERO HEAD,Chronic,Neoplasms
20152,HODG NODUL SCLERO THORAX,Chronic,Neoplasms
20153,HODG NODUL SCLERO ABDOM,Chronic,Neoplasms
20154,HODG NODUL SCLERO AXILLA,Chronic,Neoplasms
20155,HODG NODUL SCLERO INGUIN,Chronic,Neoplasms
20156,HODG NODUL SCLERO PELVIC,Chronic,Neoplasms
20157,HODG NODUL SCLERO SPLEEN,Chronic,Neoplasms
20158,HODG NODUL SCLERO MULT,Chronic,Neoplasms
20160,HODGKINS MIX CELL UNSPEC,Chronic,Neoplasms
20161,HODGKINS MIX CELL HEAD,Chronic,Neoplasms
20162,HODGKINS MIX CELL THORAX,Chronic,Neoplasms
20163,HODGKINS MIX CELL ABDOM,Chronic,Neoplasms
20164,HODGKINS MIX CELL AXILLA,Chronic,Neoplasms
20165,HODGKINS MIX CELL INGUIN,Chronic,Neoplasms
20166,HODGKINS MIX CELL PELVIC,Chronic,Neoplasms
20167,HODGKINS MIX CELL SPLEEN,Chronic,Neoplasms
20168,HODGKINS MIX CELL MULT,Chronic,Neoplasms
20170,HODG LYMPH DEPLET UNSPEC,Chronic,Neoplasms
20171,HODG LYMPH DEPLET HEAD,Chronic,Neoplasms
20172,HODG LYMPH DEPLET THORAX,Chronic,Neoplasms
20173,HODG LYMPH DEPLET ABDOM,Chronic,Neoplasms
20174,HODG LYMPH DEPLET AXILLA,Chronic,Neoplasms
20175,HODG LYMPH DEPLET INGUIN,Chronic,Neoplasms
20176,HODG LYMPH DEPLET PELVIC,Chronic,Neoplasms
20177,HODG LYMPH DEPLET SPLEEN,Chronic,Neoplasms
20178,HODG LYMPH DEPLET MULT,Chronic,Neoplasms
20190,HODGKINS DIS NOS UNSPEC,Chronic,Neoplasms
20191,HODGKINS DIS NOS HEAD,Chronic,Neoplasms
20192,HODGKINS DIS NOS THORAX,Chronic,Neoplasms
20193,HODGKINS DIS NOS ABDOM,Chronic,Neoplasms
20194,HODGKINS DIS NOS AXILLA,Chronic,Neoplasms
20195,HODGKINS DIS NOS INGUIN,Chronic,Neoplasms
20196,HODGKINS DIS NOS PELVIC,Chronic,Neoplasms
20197,HODGKINS DIS NOS SPLEEN,Chronic,Neoplasms
20198,HODGKINS DIS NOS MULT,Chronic,Neoplasms
20200,NODULAR LYMPHOMA UNSPEC,Chronic,Neoplasms
20201,NODULAR LYMPHOMA HEAD,Chronic,Neoplasms
20202,NODULAR LYMPHOMA THORAX,Chronic,Neoplasms
20203,NODULAR LYMPHOMA ABDOM,Chronic,Neoplasms
20204,NODULAR LYMPHOMA AXILLA,Chronic,Neoplasms
20205,NODULAR LYMPHOMA INGUIN,Chronic,Neoplasms
20206,NODULAR LYMPHOMA PELVIC,Chronic,Neoplasms
20207,NODULAR LYMPHOMA SPLEEN,Chronic,Neoplasms
20208,NODULAR LYMPHOMA MULT,Chronic,Neoplasms
20210,MYCOSIS FUNGOIDES UNSPEC,Chronic,Neoplasms
20211,MYCOSIS FUNGOIDES HEAD,Chronic,Neoplasms
20212,MYCOSIS FUNGOIDES THORAX,Chronic,Neoplasms
20213,MYCOSIS FUNGOIDES ABDOM,Chronic,Neoplasms
20214,MYCOSIS FUNGOIDES AXILLA,Chronic,Neoplasms
20215,MYCOSIS FUNGOIDES INGUIN,Chronic,Neoplasms
