I9_PR,I9_PR_desc,proc_class
3420,THORACOSCOPIC PLEURAL BX (Begin 2007),Major Diagnostic
3421,TRANSPLEURA THORACOSCOPY,Major Diagnostic
3422,MEDIASTINOSCOPY,Major Diagnostic
3423,CHEST WALL BIOPSY,Minor Diagnostic
3424,PLEURAL BIOPSY,Minor Diagnostic
3425,CLOS MEDIASTINAL BIOPSY,Minor Diagnostic
3426,OPEN MEDIASTINAL BIOPSY,Major Diagnostic
3427,BIOPSY OF DIAPHRAGM,Major Diagnostic
3428,DX PROCEDURE THORAX NEC,Major Diagnostic
3429,DX PROC MEDIASTINUM NEC,Major Diagnostic
343 ,DESTRUCT MEDIASTIN LES,Major Therapeutic
344 ,DESTRUCT CHEST WALL LES,Major Therapeutic
3451,DECORTICATION OF LUNG,Major Therapeutic
3452,THORACOSCOPC DECORT LUNG (Begin 2007),Major Therapeutic
3459,OTHER PLEURAL EXCISION,Major Therapeutic
346 ,SCARIFICATION OF PLEURA,Major Therapeutic
3471,SUTURE CHEST WALL LACER,Minor Therapeutic
3472,THORACOSTOMY CLOSURE,Minor Therapeutic
3473,CLOS THORACIC FISTUL NEC,Major Therapeutic
3474,PECTUS DEFORMITY REPAIR,Major Therapeutic
3479,OTHER CHEST WALL REPAIR,Major Therapeutic
3481,EXCISE DIAPHRAGM LESION,Major Therapeutic
3482,SUTURE DIAPHRAGM LACERAT,Major Therapeutic
3483,CLOSE DIAPHRAGM FISTULA,Major Therapeutic
3484,OTHER DIAPHRAGM REPAIR,Major Therapeutic
3485,IMPLANT DIAPHRA PACEMAKE,Major Therapeutic
3489,DIAPHRAGM OPERATION NEC,Major Therapeutic
3491,THORACENTESIS,Minor Therapeutic
3492,INJECT INTO THORAX CAVIT,Minor Therapeutic
3493,REPAIR OF PLEURA,Major Therapeutic
3499,THORACIC OPERATION NEC,Major Therapeutic
3500,CLOSED VALVOTOMY NOS,Major Therapeutic
3501,CLOSED AORTIC VALVOTOMY,Major Therapeutic
3502,CLOSED MITRAL VALVOTOMY,Major Therapeutic
3503,CLOSED PULMON VALVOTOMY,Major Therapeutic
3504,CLOSED TRICUSP VALVOTOMY,Major Therapeutic
3505,ENDOVAS REPL AORTC VALVE (Begin 2011),Major Therapeutic
3506,TRNSAPCL REP AORTC VALVE (Begin 2011),Major Therapeutic
3507,ENDOVAS REPL PULM VALVE (Begin 2011),Major Therapeutic
3508,TRNSAPCL REPL PULM VALVE (Begin 2011),Major Therapeutic
3509,ENDOVAS REPL UNS HRT VLV (Begin 2011),Major Therapeutic
3510,OPEN VALVULOPLASTY NOS,Major Therapeutic
3511,OPN AORTIC VALVULOPLASTY,Major Therapeutic
3512,OPN MITRAL VALVULOPLASTY,Major Therapeutic
3513,OPN PULMON VALVULOPLASTY,Major Therapeutic
3514,OPN TRICUS VALVULOPLASTY,Major Therapeutic
3520,REPLACE HEART VALVE NOS,Major Therapeutic
3521,REPLACE AORT VALVTISSUE,Major Therapeutic
3522,REPLACE AORTIC VALVE NEC,Major Therapeutic
3523,REPLACE MITR VALVTISSUE,Major Therapeutic
3524,REPLACE MITRAL VALVE NEC,Major Therapeutic
3525,REPLACE PULM VALVTISSUE,Major Therapeutic
3526,REPLACE PULMON VALVE NEC,Major Therapeutic
3527,REPLACE TRIC VALVTISSUE,Major Therapeutic
3528,REPLACE TRICUSP VALV NEC,Major Therapeutic
3531,PAPILLARY MUSCLE OPS,Major Therapeutic
3532,CHORDAE TENDINEAE OPS,Major Therapeutic
3533,ANNULOPLASTY,Major Therapeutic
3534,INFUNDIBULECTOMY,Major Therapeutic
3535,TRABECUL CARNEAE CORD OP,Major Therapeutic
3539,TISS ADJ TO VALV OPS NEC,Major Therapeutic
3541,ENLARGE EXISTINGDEF,Minor Therapeutic
3542,CREATE SEPTAL DEFECT,Major Therapeutic
3550,PROSTH REP HRT SEPTA NOS,Major Therapeutic
3551,PROS REP ATRIAL DEFOPN,Major Therapeutic
3552,PROS REPAIR ATRIA DEFCL,Major Therapeutic
3553,PROST REPAIR VENTRIC DEF,Major Therapeutic
3554,PROS REP ENDOCAR CUSHION,Major Therapeutic
3555,PROS REP VENTRC DEF-CLOS (Begin 2006),Major Therapeutic
3560,GRFT REPAIR HRT SEPT NOS,Major Therapeutic
3561,GRAFT REPAIR ATRIAL DEF,Major Therapeutic
3562,GRAFT REPAIR VENTRIC DEF,Major Therapeutic
3563,GRFT REP ENDOCAR CUSHION,Major Therapeutic
3570,HEART SEPTA REPAIR NOS,Major Therapeutic
3571,ATRIA SEPTA DEF REP NEC,Major Therapeutic
3572,VENTR SEPTA DEF REP NEC,Major Therapeutic
3573,ENDOCAR CUSHION REP NEC,Major Therapeutic
3581,TOT REPAIR TETRAL FALLOT,Major Therapeutic
3582,TOTAL REPAIR OF TAPVC,Major Therapeutic
3583,TOT REP TRUNCUS ARTERIOS,Major Therapeutic
3584,TOT COR TRANSPOS GRT VES (Begin 1988),Major Therapeutic
3591,INTERAT VEN RETRN TRANSP,Major Therapeutic
3592,CONDUIT RT VENTPUL ART,Major Therapeutic
3593,CONDUIT LEFT VENTRAORTA,Major Therapeutic
3594,CONDUIT ARTIUMPULM ART,Major Therapeutic
3595,HEART REPAIR REVISION,Major Therapeutic
3596,PERC HEART VALVULOPLASTY (Begin 1986),Major Therapeutic
3597,PERC MTRL VLV REPR W IMP (Begin 2010),Major Therapeutic
3598,OTHER HEART SEPTA OPS,Major Therapeutic
3599,OTHER HEART VALVE OPS,Major Therapeutic
3600,REM OBSTR NOS (Begin 1986 End 1991),Major Therapeutic
3601,PTCA1 VESSEL W/O AGENT (Begin 1986 End 2005),Major Therapeutic
3602,PTCA1 VESSEL WITH AGNT (Begin 1986 End 2005),Major Therapeutic
3603,OPEN CORONRY ANGIOPLASTY (Begin 1986),Major Therapeutic
3604,INTRCORONRY THROMB INFUS (Begin 1986),Minor Therapeutic
3605,PTCAMULTIPLE VESSEL (Begin 1986 End 2005),Major Therapeutic
3606,INSERT CORON ART STENT (Begin 1995),Minor Therapeutic
3607,INSERT DRUGELUTING CRNRY AR (Begin 2002),Minor Therapeutic
3609,(OTH)REM COR ART OBST(NEC) (Begin 1986),Major Therapeutic
3610,AORTOCORONARY BYPASS NOS,Major Therapeutic
3611,AORTOCOR BYPAS1 COR ART,Major Therapeutic
3612,AORTOCOR BYPAS2 COR ART,Major Therapeutic
3613,AORTOCOR BYPAS3 COR ART,Major Therapeutic
3614,AORTCOR BYPAS4+ COR ART,Major Therapeutic
3615,1 INT MAMCOR ART BYPASS,Major Therapeutic
3616,2 INT MAMCOR ART BYPASS,Major Therapeutic
3617,ABDCORON ART BYPASS (Begin 1996),Major Therapeutic
3619,HRT REVAS BYPS ANAS NEC,Major Therapeutic
362 ,ARTERIAL IMPLANT REVASC,Major Therapeutic
363 ,HEART REVASCULARIZAT NEC (End 1998),Major Therapeutic
3631,OPEN CHEST TRANSMYO REVASC (Begin 1998),Major Therapeutic
3632,OTH TRANSMYO REVASC (Begin 1998),Major Therapeutic
3633,ENDO TRANSMYO REVASCULAR (Begin 2006),Major Therapeutic
3634,PERC TRANSMYO REVASCULAR (Begin 2006),Major Therapeutic
3639,OTHER HEART REVASC (Begin 1998),Major Therapeutic
3691,CORON VESS ANEURYSM REP,Major Therapeutic
3699,HEART VESSEL OP NEC,Major Therapeutic
370 ,PERICARDIOCENTESIS,Minor Therapeutic
3710,INCISION OF HEART NOS,Major Therapeutic
3711,CARDIOTOMY,Major Therapeutic
3712,PERICARDIOTOMY,Major Therapeutic
3720,NONINVAS ELECT STIMULATN (Begin 2006),Minor Diagnostic
3721,RT HEART CARDIAC CATH,Minor Diagnostic
3722,LEFT HEART CARDIAC CATH,Minor Diagnostic
3723,RT/LEFT HEART CARD CATH,Minor Diagnostic
3724,PERICARDIAL BIOPSY,Major Diagnostic
3725,CARDIAC BIOPSY,Minor Diagnostic
3726,CARDIAC ELECTROPHY STIM (Begin 1988),Minor Diagnostic
3727,CARDIAC MAPPING (Begin 1988),Minor Diagnostic
3728,INTRACARDIAC ECHOCARDIOGRAPH (Begin 2001),Minor Diagnostic
3729,HRT/PERICAR DX PROC NEC,Minor Diagnostic
3731,PERICARDIECTOMY,Major Therapeutic
3732,HEART ANEURYSM EXCISION,Major Therapeutic
3733,EXC(/DEST) OTH HRT LESION (Begin 1980),Major Therapeutic
3734,CATH ABLATION LES HEART (Begin 1988),Major Therapeutic
3735,PARTIAL VENTRICULECTOMY (Begin 1997),Major Therapeutic
3736,EXC LEFT ATRIAL APPENDAG (begin 2008),Minor Therapeutic
3737,EXC/DEST HRT LES THRSPC (Begin 2010),Major Therapeutic
374 ,HEART & PERICARD REPAIR,Major Therapeutic
3741,IMPL CARDIAC SUPPORT DEV (Begin 2005),Major Therapeutic
3749,HEART/PERICARD REPR NEC (Begin 2005),Major Therapeutic
375 ,HEART TRANSPLANTATION (End 2003),Major Therapeutic
3751,HEART TRANSPLANTATION (Begin 2003),Major Therapeutic
3752,IMPLANT TOTAL HEART REPLACEM (Begin 2003),Major Therapeutic
3753,REPLACE THORACIC UNIT TOTAL (Begin 2003),Major Therapeutic
3754,REPLACE OTHER COMPONENT HEAR (Begin 2003),Major Therapeutic
3755,REM INT BIVENT HRT SYS (begin 2008),Major Therapeutic
3760,IMP BIVN EXT HRT AST SYS (begin 2008),Major Therapeutic
3761,PULSATION BALLOON IMPLAN,Major Therapeutic
3762,IMPLANT HRT ASST SYS NEC,Major Therapeutic
3763,REPLACE HRT ASSIST SYST,Major Therapeutic
3764,REMOVE HEART ASSIST SYS,Major Therapeutic
3765,IMPL EXTERN HEART ASSIST (Begin 1995),Major Therapeutic
3766,IMPL INTERN HEART ASSIST (Begin 1995),Major Therapeutic
3767,IMPLANT CARDIOMYOSTIM SYS (Begin 1998),Major Therapeutic
3768,PERCUTAN HRT ASSIST SYST (Begin 2004),Major Therapeutic
3770,INT INSERT PACEMAK LEAD (Begin 1987),Minor Therapeutic
3771,INT INSERT LEAD IN VENT (Begin 1987),Minor Therapeutic
3772,INT INSER LEAD ATRIVENT (Begin 1987),Minor Therapeutic
3773,INT INSER LEAD IN ATRIUM (Begin 1987),Minor Therapeutic
3774,INT OR REPL LEAD EPICAR (Begin 1987),Major Therapeutic
3775,REVISION OF LEAD (Begin 1987),Major Therapeutic
3776,REPL TV ATRIVENT LEAD (Begin 1987),Major Therapeutic
3777,REMOVAL OF LEAD W/O REPL (Begin 1987),Major Therapeutic
3778,INSER TEMP PACEMAKER SYS (Begin 1987),Minor Therapeutic
3779,REVIS OR RELOCATE POCKET (Begin 1987),Major Therapeutic
3780,INT OR REPL PERM PACEMKR (Begin 1987),Major Therapeutic
3781,INT INSERT 1CHAM NON (Begin 1987),Minor Therapeutic
3782,INT INSERT 1CHAM RATE (Begin 1987),Minor Therapeutic
3783,INT INSERT DUALCHAM DEV (Begin 1987),Minor Therapeutic
3785,REPL PACEM W 1CHAM NON (Begin 1987),Major Therapeutic
3786,REPL PACEM 1CHAM RATE (Begin 1987),Major Therapeutic
3787,REPL PACEM W DUALCHAM (Begin 1987),Major Therapeutic
3789,REVISE OR REMOVE PACEMAK (Begin 1987),Major Therapeutic
3790,INS LEFT ATR APPEND DEV (Begin 2004),Minor Therapeutic
3791,OPN CHEST CARDIAC MASSAG,Major Therapeutic
3792,INJECTION INTO HEART,Minor Therapeutic
3793,INJECTION INTO PERICARD,Minor Therapeutic
3794,IMPLT/REPL CARDDEFIB TOT (Begin 1986),Major Therapeutic
3795,IMPLT CARDIODEFIB LEADS (Begin 1986),Major Therapeutic
3796,IMPLT CARDIODEFIB GENATR (Begin 1986),Major Therapeutic
3797,REPL CARDIODEFIB LEADS (Begin 1986),Major Therapeutic
3798,REPL CARDIODEFIB GENRATR (Begin 1986),Major Therapeutic
3799,OTHER HEART/PERICARD OPS,Major Therapeutic
3800,INCISION OF VESSEL NOS,Major Therapeutic
3801,INTRACRAN VESSEL INCIS,Major Therapeutic
3802,HEAD/NECK VES INCIS NEC,Major Therapeutic
3803,UPPER LIMB VESSEL INCIS,Major Therapeutic
3804,INCISION OF AORTA,Major Therapeutic
3805,THORACIC VESSEL INC NEC,Major Therapeutic
3806,ABDOMEN ARTERY INCISION,Major Therapeutic
3807,ABDOMINAL VEIN INCISION,Major Therapeutic
3808,EMBOLECTOMY LEG VESSEL,Major Therapeutic
3809,LOWER LIMB VEIN INCISION,Major Therapeutic
3810,ENDARTERECTOMY NOS,Major Therapeutic
3811,INTRACRAN ENDARTERECTOMY,Major Therapeutic
3812,HEAD & NECK ENDARTER NEC,Major Therapeutic
3813,UPPER LIMB ENDARTERECTOM,Major Therapeutic
3814,ENDARTERECTOMY OF AORTA,Major Therapeutic
3815,THORACIC ENDARTERECTOMY,Major Therapeutic
3816,ABDOMINAL ENDARTERECTOMY,Major Therapeutic
3818,ENDARTERECTOMY LEG VESL,Major Therapeutic
3821,BLOOD VESSEL BIOPSY,Major Diagnostic
3822,PERCUTANEOUS ANGIOSCOPY (Begin 1986),Minor Diagnostic
3823,INTRAVASCLR SPECTROSCOPY (begin 2008),Minor Diagnostic
3824,Intravas img cor ves OCT (begin 2009),Minor Diagnostic
3825,Intravas img non-cor OCT (begin 2009),Minor Diagnostic
3826,INSRT PRSR SNSR W/O LEAD (Begin 2011),Major Therapeutic
3829,BLOOD VESSEL DX PROC NEC,Major Diagnostic
3830,VESSEL RESECT/ANAST NOS,Major Therapeutic
3831,INTRACRAN VES RESECANAS,Major Therapeutic
3832,HEAD/NECK VES RESECANAS,Major Therapeutic
3833,ARM VESSEL RESECT/ANAST,Major Therapeutic
3834,AORTA RESECTION & ANAST,Major Therapeutic
3835,THOR VESSEL RESECT/ANAST,Major Therapeutic
3836,ABD VESSEL RESECT/ANAST,Major Therapeutic
3837,ABD VEIN RESECT & ANAST,Major Therapeutic
3838,LEG ARTERY RESECT/ANAST,Major Therapeutic
3839,LEG VEIN RESECT/ANASTOM,Major Therapeutic
3840,VESSEL RESECT/REPLAC NOS,Major Therapeutic
3841,INTRACRAN VES RESECREPL,Major Therapeutic
3842,HEAD/NECK VES RESECREPL,Major Therapeutic
3843,ARM VES RESECT W REPLACE,Major Therapeutic
3844,RESECT ABDM AORTA W REPL (Begin 1986),Major Therapeutic
3845,RESECT THORAC VES W REPL (Begin 1986),Major Therapeutic
3846,ABD ARTERY RESEC W REPLA,Major Therapeutic
3847,ABD VEIN RESECT W REPLAC,Major Therapeutic
3848,LEG ARTERY RESEC W REPLA,Major Therapeutic
3849,LEG VEIN RESECT W REPLAC,Major Therapeutic
3850,VARICOSE V LIGSTRIP NOS,Major Therapeutic
3851,INTCRAN VAR V LIGSTRIP,Major Therapeutic
3852,HEAD/NECK VAR V LIGSTR,Major Therapeutic
3853,ARM VARICOSE V LIGSTRIP,Major Therapeutic
3855,THORAC VAR V LIGSTRIP,Major Therapeutic
3857,ABD VARICOS V LIGASTRIP,Major Therapeutic
3859,LEG VARICOS V LIGASTRIP,Major Therapeutic
3860,EXCISION OF VESSEL NOS,Major Therapeutic
3861,INTRACRAN VESSEL EXCIS,Major Therapeutic
3862,HEAD/NECK VESSEL EXCIS,Major Therapeutic
3863,ARM VESSEL EXCISION,Major Therapeutic
3864,EXCISION OF AORTA,Major Therapeutic
3865,THORACIC VESSEL EXCISION,Major Therapeutic
3866,ABDOMINAL ARTERY EXCIS,Major Therapeutic
3867,ABDOMINAL VEIN EXCISION,Major Therapeutic
3868,LEG ARTERY EXCISION,Major Therapeutic
3869,LEG VEIN EXCISION,Major Therapeutic
387 ,INTERRUPTION VENA CAVA,Major Therapeutic
3880,SURG VESSEL OCCLUS NEC,Major Therapeutic
3881,OCCLUS INTRACRAN VES NEC,Major Therapeutic
3882,OCCLUS HEAD/NECK VES NEC,Major Therapeutic
3883,OCCLUDE ARM VESSEL NEC,Major Therapeutic
3884,OCCLUDE AORTA NEC,Major Therapeutic
3885,OCCLUDE THORACIC VES NEC,Major Therapeutic
3886,OCCLUDE ABD ARTERY NEC,Major Therapeutic
3887,OCCLUDE ABD VEIN NEC,Major Therapeutic
3888,OCCLUDE LEG ARTERY NEC,Major Therapeutic
3889,OCCLUDE LEG VEIN NEC,Major Therapeutic
3891,ARTERIAL CATHETERIZATION,Minor Therapeutic
3892,UMBILICAL VEIN CATH,Minor Therapeutic
3893,OTHER VENOUS CATH (NEC) (Begin 1980),Minor Therapeutic
3894,VENOUS CUTDOWN,Minor Therapeutic
3895,VEN CATH RENAL DIALYSIS (Begin 1989),Minor Therapeutic
3897,CV CATH PLCMT W GUIDANCE (Begin 2010),Minor Therapeutic
3898,ARTERIAL PUNCTURE NEC,Minor Therapeutic
3899,VENOUS PUNCTURE NEC,Minor Therapeutic
390 ,SYSTEMICPULM ART SHUNT,Major Therapeutic
391 ,INTRAABD VENOUS SHUNT,Major Therapeutic
3921,CAVALPULMON ART ANASTOM,Major Therapeutic
3922,AORTASUBCLVCAROT BYPAS,Major Therapeutic
3923,INTRATHORACIC SHUNT NEC,Major Therapeutic
3924,AORTARENAL BYPASS,Major Therapeutic
3925,AORTAILIACFEMOR BYPASS,Major Therapeutic
3926,INTRAABDOMIN SHUNT NEC,Major Therapeutic
3927,DIALYSIS ARTERIOVENOSTOM,Major Therapeutic
3928,EXTRACRANINTRACR BYPASS(Begin 1991),Major Therapeutic
3929,VASC SHUNT & BYPASS NEC,Major Therapeutic
3930,SUTURE OF VESSEL NOS,Major Therapeutic
3931,SUTURE OF ARTERY,Major Therapeutic
3932,SUTURE OF VEIN,Major Therapeutic
3941,POSTOP VASC OP HEM CONTR,Major Therapeutic
3942,REVIS REN DIALYSIS SHUNT,Major Therapeutic
3943,REMOV REN DIALYSIS SHUNT,Major Therapeutic
3949,VASC PROC REVISION NEC,Major Therapeutic
3950,ANGIOPLAST/ATHERECT (Begin 1995),Major Therapeutic
3951,CLIPPING OF ANEURYSM,Major Therapeutic
3952,ANEURYSM REPAIR NEC,Major Therapeutic
3953,ARTERIOVEN FISTULA REP,Major Therapeutic
3954,REENTRY OPERATION,Major Therapeutic
3955,REIMPLAN ABERR RENAL VES,Major Therapeutic
3956,REPAIR VESS W TIS PATCH,Major Therapeutic
3957,REP VESS W SYNTH PATCH,Major Therapeutic
3958,REPAIR VESS W PATCH NOS,Major Therapeutic
3959,REPAIR OF VESSEL NEC,Major Therapeutic
3961,EXTRACORPOREAL CIRCULAT,Minor Therapeutic
3962,HYPOTHERMIA W OPEN HEART,Minor Therapeutic
3963,CARDIOPLEGIA,Minor Therapeutic
3964,INTRAOP CARDIAC PACEMAK,Minor Therapeutic
3965,EXTRACORPOREAL MEMB OXY (Begin 1988),Major Therapeutic
3966,PER CARDIOPULMON BYPASS (Begin 1990),Minor Therapeutic
397 ,PERIARTER SYMPATHECTOMY,Major Therapeutic
3971,ENDOVASCULAR IMPLANT IN ABDM (Begin 2000),Major Therapeutic
3972,ENDOVAS REPAIR/OCCL HEAD & N (Begin 2002),Major Therapeutic
3973,ENDO IMP GRFT THOR AORTA (Begin 2005),Major Therapeutic
3974,ENDO REM OBS HD/NECK VES (Begin 2006),Major Therapeutic
3975,Endo emb hd/nkbare coil (begin 2009),Major Therapeutic
3976,Endo em hd/nkbioac coil (begin 2009),Major Therapeutic
3977,TEMP ENDOVSC OCCLS VESSL (Begin 2011),Major Therapeutic
3978,ENDOVAS IMPLN GRFT AORTA (Begin 2011),Major Therapeutic
3979,OTHER ENDOVASCULAR REPAIR (Begin 2000),Major Therapeutic
398 ,VASCULAR BODY OPERATIONS (end 2010),Major Therapeutic
3981,IMP CRTD SINUS STMTOTL (Begin 2010),Major Therapeutic
3982,IMP/REP CRTD SINUS LEAD (Begin 2010),Major Therapeutic
3983,IMP/REP CRTD SINUS GNRTR (Begin 2010),Major Therapeutic
3984,REV CRTD SINUS STM LEADS (Begin 2010),Major Therapeutic
3985,REV CRTD SINUS PULSE GEN (Begin 2010),Major Therapeutic
3986,REM CRTD SINUS STM TOTL (Begin 2010),Major Therapeutic
3987,REM CRTD SINUS STM LEAD (Begin 2010),Major Therapeutic
3988,REM CRTD SINUS PULSE GEN (Begin 2010),Major Therapeutic
3989,OTH CARTD BODY/SINUS OP (Begin 2010),Major Therapeutic
3990,INSERT NONCOR ART STENT (Begin 1996),Minor Therapeutic
3991,FREEING OF VESSEL,Major Therapeutic
3992,VEIN INJECTSCLEROS AGNT,Major Therapeutic
3993,INSERT VESTOVES CANNUL,Major Therapeutic
3994,REPLAC VESTOVES CANNUL,Major Therapeutic
3995,HEMODIALYSIS,Minor Therapeutic
3996,TOTAL BODY PERFUSION,Minor Therapeutic
3997,OTHER PERFUSION,Minor Therapeutic
3998,HEMORRHAGE CONTROL NOS,Major Therapeutic
3999,VESSEL OPERATION NEC,Major Therapeutic
400 ,INCIS LYMPHATIC STRUCTUR,Major Therapeutic
4011,LYMPHATIC STRUCT BIOPSY,Major Diagnostic
4019,LYMPHATIC DIAG PROC NEC,Major Diagnostic
4021,EXCIS DEEP CERVICAL NODE,Major Therapeutic
4022,EXCISE INT MAMMARY NODE,Major Therapeutic
4023,EXCISE AXILLARY NODE,Major Therapeutic
4024,EXCISE INGUINAL NODE,Major Therapeutic
4029,SIMP EXC LYMPH STRUC NEC,Major Therapeutic
403 ,REGIONAL LYMPH NODE EXC,Major Therapeutic
4040,RAD NECK DISSECTION NOS,Major Therapeutic
4041,UNILAT RAD NECK DISSECT,Major Therapeutic
4042,BILAT RAD NECK DISSECT,Major Therapeutic
4050,RAD NODE DISSECTION NOS,Major Therapeutic
4051,RAD DISSEC AXILLARY NODE,Major Therapeutic
4052,RAD DISSEC PERIAORT NODE,Major Therapeutic
4053,RAD DISSECT ILIAC NODES,Major Therapeutic
4054,RADICAL GROIN DISSECTION,Major Therapeutic
4059,RAD NODE DISSECTION NEC,Major Therapeutic
4061,THORAC DUCT CANNULATION,Major Therapeutic
4062,THORACIC DUCT FISTULIZAT,Major Therapeutic
4063,CLOSE THORACIC DUCT FIST,Major Therapeutic
4064,LIGATE THORACIC DUCT,Major Therapeutic
4069,THORACIC DUCT OP NEC,Major Therapeutic
409 ,LYMPH STRUCTURE OP NEC,Major Therapeutic
410 ,BONE MARROW TRNSPLNT (Begin 1980 End 1988),Major Therapeutic
4100,BONE MARROW TRNSPLNT NOS (Begin 1988),Major Therapeutic
4101,AUT BONE MARROW TRNSPLNT (Begin 1988),Major Therapeutic
4102,ALO BONE MARROW TRNSPLNT (Begin 1988),Major Therapeutic
4103,ALLOGRFT BONE MARROW NOS (Begin 1988),Major Therapeutic
4104,AUTOL HEMATOPO STEM CELL TRA (Begin 1994),Major Therapeutic
4105,ALLOGEN HEMATO STEM CELL TRA (Begin 1997),Major Therapeutic
4106,CORD BLOOD STEM CELL TRANS (Begin 1997),Major Therapeutic
4107,AUTOL HEMAT STEM CELL TRANS (Begin 2000),Major Therapeutic
4108,ALLOGEN HEMAT STEM CELL TRAN (Begin 2000),Major Therapeutic
4109,AUTOL BONE MARROW TRANS W/PU (Begin 2000),Major Therapeutic
411 ,PUNCTURE OF SPLEEN,Minor Therapeutic
412 ,SPLENOTOMY,Major Therapeutic
4131,BONE MARROW BIOPSY,Minor Diagnostic
4132,CLOSED SPLEEN BIOPSY,Minor Diagnostic
4133,OPEN SPLEEN BIOPSY,Major Diagnostic
4138,MARROW DIAGNOST PROC NEC,Minor Diagnostic
4139,SPLEEN DIAGNOST PROC NEC,Minor Diagnostic
4141,SPLENIC CYST MARSUPIAL,Major Therapeutic
4142,EXC SPLENIC LESION/TISS,Major Therapeutic
4143,PARTIAL SPLENECTOMY,Major Therapeutic
415 ,TOTAL SPLENECTOMY,Major Therapeutic
4191,DONOR MARROW ASPIRATION,Minor Therapeutic
4192,INJECTION INTO MARROW,Minor Therapeutic
4193,EXC OF ACCESSORY SPLEEN,Major Therapeutic
4194,SPLEEN TRANSPLANTATION,Major Therapeutic
4195,REPAIR OF SPLEEN,Major Therapeutic
4198,BONE MARROW OPS NEC,Minor Therapeutic
4199,SPLEEN OPERATION NEC,Major Therapeutic
4201,ESOPHAGEAL WEB INCISION,Major Therapeutic
4209,ESOPHAGEAL INCISION NEC,Major Therapeutic
4210,ESOPHAGOSTOMY NOS,Major Therapeutic
4211,CERVICAL ESOPHAGOSTOMY,Major Therapeutic
4212,ESOPH POUCH EXTERIORIZAT,Major Therapeutic
4219,EXT FISTULIZAT ESOPH NEC,Major Therapeutic
4221,ESOPHAGOSCOPY BY INCIS,Major Diagnostic
4222,ESOPHAGOSCOPY THRU STOMA,Minor Diagnostic
4223,ESOPHAGOSCOPY NEC,Minor Diagnostic
4224,(CLOSED) BX OF ESOPHAGUS (Begin 1980),Minor Diagnostic
4225,OPEN BIOPSY OF ESOPHAGUS (Begin 1988),Major Diagnostic
4229,ESOPHAGEAL DX PROC NEC,Minor Diagnostic
4231,LOC EXCIS ESOPH DIVERTIC,Major Therapeutic
4232,LOCAL EXCIS ESOPHAG NEC,Major Therapeutic
4233,ENDOSC DESTRUC ESOPH LES (Begin 1989),Minor Therapeutic
4239,DESTRUCT ESOPHAG LES NEC,Major Therapeutic
4240,ESOPHAGECTOMY NOS,Major Therapeutic
4241,PARTIAL ESOPHAGECTOMY,Major Therapeutic
4242,TOTAL ESOPHAGECTOMY,Major Therapeutic
4251,THORAC ESOPHAGOESOPHAGOS,Major Therapeutic
4252,THORAC ESOPHAGOGASTROST,Major Therapeutic
4253,THORAC SM BOWEL INTERPOS,Major Therapeutic
4254,THORAC ESOPHAGOENTER NEC,Major Therapeutic
4255,THORAC LG BOWEL INTERPOS,Major Therapeutic
4256,THORAC ESOPHAGOCOLOS NEC,Major Therapeutic
4258,THORAC INTERPOSITION NEC,Major Therapeutic
4259,THORAC ESOPHAG ANAST NEC,Major Therapeutic
4261,STERN ESOPHAGOESOPHAGOST,Major Therapeutic
4262,STERN ESOPHAGOGASTROSTOM,Major Therapeutic
4263,STERN SM BOWEL INTERPOS,Major Therapeutic
4264,STERN ESOPHAGOENTER NEC,Major Therapeutic
4265,STERN LG BOWEL INTERPOS,Major Therapeutic
4266,STERN ESOPHAGOCOLOS NEC,Major Therapeutic
4268,STERN INTERPOSITION NEC,Major Therapeutic
4269,STERN ESOPHAG ANAST NEC,Major Therapeutic
427 ,ESOPHAGOMYOTOMY,Major Therapeutic
4281,INSERT PERM TUBE ESOPHAG,Minor Therapeutic
4282,SUTURE ESOPHAGEAL LACER,Major Therapeutic
4283,ESOPHAGOSTOMY CLOSURE,Major Therapeutic
4284,ESOPH FISTULA REPAIR NEC,Major Therapeutic
4285,ESOPHAG STRICTURE REPAIR,Major Therapeutic
4286,PROD SUBQ TUNNEL NO ANAS,Major Therapeutic
4287,ESOPHAGEAL GRAFT NEC,Major Therapeutic
4289,ESOPHAGEAL REPAIR NEC,Major Therapeutic
4291,(INJECT) LIG ESOPH VARIX (Begin 1980),Major Therapeutic
4292,ESOPHAGEAL DILATION,Minor Therapeutic
4299,ESOPHAGEAL OPERATION NEC,Minor Therapeutic
430 ,GASTROTOMY,Major Therapeutic
431 ,TEMP GASTROSTOMY(Begin 1980 End 1989),Major Therapeutic
4311,PERCU ENDOSC GASTROSTOMY (Begin 1989),Minor Therapeutic
4319,OTHER GASTROSTOMY (Begin 1989),Minor Therapeutic
432 ,PERM GASTROSTOMY(Begin 1980 End 1989),Major Therapeutic
433 ,PYLOROMYOTOMY,Major Therapeutic
4341,GASTRIC POLYPECTOMYS (Begin 1989),Minor Therapeutic
4342,LOCAL GASTR EXCISION NEC,Major Therapeutic
4349,LOCAL GASTR DESTRUCT NEC,Major Therapeutic
435 ,PROXIMAL GASTRECTOMY,Major Therapeutic
436 ,DISTAL GASTRECTOMY,Major Therapeutic
437 ,PART GASTREC W JEJ ANAST,Major Therapeutic
